Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
CRM180907C155(3805599NJ),"CALL (CRM) SALESFORCE COM INC SEP 07 18 $155 (100 SHS)",5.00000,09/04/2018,09/07/2018,"$0.00 ","$328.37 ","($328.37)",-
CRON(22717L101),"CRONOS GROUP INC COMNPV ISIN #CA22717L1013 SEDOL #BF01YS3",100.00000,10/26/2018,12/12/2018,"$1237.96 ","$1122.64 ","$115.32 ",-
CRON(22717L101),"CRONOS GROUP INC COMNPV ISIN #CA22717L1013 SEDOL #BF01YS3",100.00000,11/02/2018,12/12/2018,"$1237.95 ","$790.59 ","$447.36 ",-
CRON180921P9(3841579OI),"PUT (CRON) CRONOS GROUP INC COMSEP 21 18 $9 (100 SHS)",1.00000,08/22/2018,08/24/2018,"$180.82 ","$75.68 ","$105.14 ",-
CRON180921P9(3841579OI),"PUT (CRON) CRONOS GROUP INC COMSEP 21 18 $9 (100 SHS)",9.00000,08/22/2018,08/24/2018,"$1627.36 ","$731.11 ","$896.25 ",-
CRON180928P15(3849169II),"PUT (CRON) CRONOS GROUP INC COMSEP 28 18 $15 (100 SHS)",1.00000,09/05/2018,09/20/2018,"$355.36 ","$246.63 ","$108.73 ",-
CRON181005P12(3849159FZ),"PUT (CRON) CRONOS GROUP INC COMOCT 05 18 $12 (100 SHS)",3.00000,09/14/2018,09/27/2018,"$787.98 ","$445.00 ","$342.98 ",-
CRON181019C7.5(3624539PJ),"CALL (CRON) CRONOS GROUP INC COMOCT 19 18 $7.5 (100 SHS)",5.00000,08/22/2018,08/28/2018,"$1911.60 ","$598.42 ","$1313.18 ",-
CRON181019C7.5(3624539PJ),"CALL (CRON) CRONOS GROUP INC COMOCT 19 18 $7.5 (100 SHS)",5.00000,08/22/2018,08/27/2018,"$2291.60 ","$598.42 ","$1693.18 ",-
CRON181214C12(3939349MK),"CALL (CRON) CRONOS GROUP INC COMDEC 14 18 $12 (100 SHS)",2.00000,12/07/2018,12/10/2018,"$313.67 ","$166.32 ","$147.35 ",-
CRON200117C5(3765659FF),"CALL (CRON) CRONOS GROUP INC COMJAN 17 20 $5 (100 SHS)",1.00000,09/06/2018,10/16/2018,"$806.65 ","$749.63 ","$57.02 ",-
CRON200117C5(3765659FF),"CALL (CRON) CRONOS GROUP INC COMJAN 17 20 $5 (100 SHS)",2.00000,09/13/2018,10/16/2018,"$1613.31 ","$1346.32 ","$266.99 ",-
CSX(126408103),"CSX CORP COM USD1",500.00000,07/17/2018,07/19/2018,"$33957.05 ","$32199.45 ","$1757.60 ",-
CSX180720C67(3748399OO),"CALL (CSX) C S X CORP JUL 20 18 $67 (100 SHS)",5.00000,07/17/2018,07/18/2018,"$241.60 ","$968.39 ","($726.79)",-
DAL181221C35(3685209DX),"CALL (DAL) DELTA AIR LINES INC DEC 21 18 $35 (100 SHS)",5.00000,07/19/2018,07/26/2018,"$9371.48 ","$9018.39 ","$353.09 ",-
DBX(26210C104),"DROPBOX INC CL A",100.00000,03/23/2018,03/27/2018,"$3011.98 ","$3078.95 ","($66.97)",-
DPW180518P2.5(3537649VR),"PUT (DPW) DPW HLDGS INC COM MAY 18 18 $2.5 (100 SHS)",10.00000,04/16/2018,04/25/2018,"$1488.13 ","$1761.83 ","($273.70)",-
DUST180216C32(3510359RL),"CALL (DUST) DIREXION SHS ETF TR FEB 16 18 $32 (100 SHS)",2.00000,02/09/2018,02/16/2018,"$203.66 ","$0.00 ","$203.66 ",-
DUST180420P26.5(3631139BZ),"PUT (DUST) DIREXION SHS ETF TR APR 20 18 $26.5 (100 SHS)",3.00000,04/11/2018,04/16/2018,"$1078.96 ","$1087.01 ","($8.05)",-
DUST180427P28(3621329WQ),"PUT (DUST) DIREXION SHS ETF TR APR 27 18 $28 (100 SHS)",1.00000,04/13/2018,04/23/2018,"$467.65 ","$427.64 ","$40.01 ",-
DUST180427P28(3621329WQ),"PUT (DUST) DIREXION SHS ETF TR APR 27 18 $28 (100 SHS)",2.00000,04/13/2018,04/23/2018,"$935.30 ","$824.33 ","$110.97 ",-
DUST180518P23.5(3674879WU),"PUT (DUST) DIREXION SHS ETF TR MAY 18 18 $23.5 (100 SHS)",2.00000,05/03/2018,05/04/2018,"$253.66 ","$252.33 ","$1.33 ",-
DUST180525C22.5(3657269HH),"CALL (DUST) DIREXION SHS ETF TR MAY 25 18 $22.5 (100 SHS)",3.00000,04/13/2018,04/25/2018,"$714.95 ","$742.01 ","($27.06)",-
DUST180525C22.5(3657269HH),"CALL (DUST) DIREXION SHS ETF TR MAY 25 18 $22.5 (100 SHS)",2.00000,04/20/2018,04/25/2018,"$476.63 ","$410.33 ","$66.30 ",-
DVAX180420C26(3373879VR),"CALL (DVAX) DYNAVAX TECHNOLOGIESAPR 20 18 $26 (100 SHS)",5.00000,11/09/2017,04/20/2018,"$0.00 ","$1508.41 ","($1508.41)",-
DVAX180420C26(3373879VR),"CALL (DVAX) DYNAVAX TECHNOLOGIESAPR 20 18 $26 (100 SHS)",5.00000,03/29/2018,04/20/2018,"$0.00 ","$131.44 ","($131.44)",-
EBIO180518P5(3399159FF),"PUT (EBIO) ELEVEN MAY 18 18 $5 (100 SHS)",30.00000,05/03/2018,05/07/2018,"$6424.27 ","$6475.58 ","($51.31)",-
EYEG(30233M107),"EYEGATE PHARMACEUTICALS INC COM",1000.00000,04/23/2018,04/23/2018,"$617.52 ","$647.35 ","($29.83)",-
FB180727P207.5(3738979IG),"PUT (FB) FACEBOOK INC COM JUL 27 18 $207.5 (100 SHS)",1.00000,07/25/2018,07/26/2018,"$3017.32 ","$205.64 ","$2811.68 ",-
FB181019C210(3675629QQ),"CALL (FB) FACEBOOK INC COM OCT 19 18 $210 (100 SHS)",1.00000,07/23/2018,07/25/2018,"$1644.33 ","$1222.64 ","$421.69 ",-
FDC(32008D106),"FIRST DATA CORP NEW COM CL A",100.00000,08/02/2018,08/10/2018,"$2469.35 ","$2390.89 ","$78.46 ",-
FNSR(31787A507),"FINISAR CORP COM NEW",500.00000,03/16/2018,05/07/2018,"$8392.30 ","$10313.36 ","($1921.06)",-
FNSR180316P19(3331859XZ),"PUT (FNSR) FINISAR CORP COM NEWMAR 16 18 $19 (100 SHS)",5.00000,03/09/2018,03/09/2018,"$591.59 ","$383.39 ","$208.20 ",-
FNSR180316P19(3331859XZ),"PUT (FNSR) FINISAR CORP COM NEWMAR 16 18 $19 (100 SHS)",8.00000,03/05/2018,03/06/2018,"$886.51 ","$850.45 ","$36.06 ",-
FNSR180316P19(3331859XZ),"PUT (FNSR) FINISAR CORP COM NEWMAR 16 18 $19 (100 SHS)",2.00000,03/05/2018,03/06/2018,"$221.63 ","$190.33 ","$31.30 ",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",100.00000,01/29/2018,02/15/2018,"$1770.48 ","$1928.45 ","($157.97)",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",100.00000,02/07/2018,02/15/2018,"$1770.48 ","$1375.95 ","$394.53 ",-
GERN180921P6(3644519HF),"PUT (GERN) GERON CORP SEP 21 18 $6 (100 SHS)",10.00000,08/27/2018,09/10/2018,"$1568.18 ","$1451.79 ","$116.39 ",-
GROW(902952100),"US GLOBAL INVESTORS INC CL A",1000.00000,02/21/2018,02/16/2018,"$3369.74 ","$3723.95 ","($354.21)",-
