Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
ACHN(00448Q201),"ACHILLION PHARMACEUTICALS INC COM",300.00000,10/17/2014,11/03/2014,"$3609.97 ","$2928.26 ","$681.71 ",-
ACHN141220P11(2047239OM),"PUT (ACHN) ACHILLION DEC 20 14 $11 (100 SHS)",10.00000,11/24/2014,12/19/2014,"$1884.16 ","$44.31 ","$1839.85 ",-
ACHN141220P11(2047239OM),"PUT (ACHN) ACHILLION DEC 20 14 $11 (100 SHS)",10.00000,11/26/2014,12/19/2014,"$2234.16 ","$44.31 ","$2189.85 ",-
ACHN141226P12(2194579VP),"PUT (ACHN) ACHILLION DEC 26 14 $12 (100 SHS)",25.00000,12/19/2014,12/22/2014,"$3397.38 ","$183.79 ","$3213.59 ",-
ALXN140920C195(2080709IC),"CALL (ALXN) ALEXION PHARM INC. SEP 20 14 $195 (100 SHS)",1.00000,07/23/2014,09/19/2014,"$0.00 ","$234.74 ","($234.74)",-
BLDP(058586108),"BALLARD PWR SYS INC NEW COM ISIN #CA0585861085 SEDOL #2072717",1000.00000,06/04/2014,06/20/2014,"$4256.75 ","$3787.95 ","$468.80 ",-
FB140719C80(2008049US),"CALL (FB) FACEBOOK INC COM JUL 19 14 $80 (100 SHS)",20.00000,07/01/2014,07/18/2014,"$0.00 ","$88.66 ","($88.66)",-
FB140920P72.5(1917049DB),"PUT (FB) FACEBOOK INC COM SEP 20 14 $72.5 (100 SHS)",5.00000,08/14/2014,09/19/2014,"$0.00 ","$911.87 ","($911.87)",-
GILD(375558103),"GILEAD SCIENCES INC COM USD0.001",200.00000,04/10/2014,04/11/2014,"$13674.74 ","$13007.95 ","$666.79 ",-
GILD140719C80(2008069EY),"CALL (GILD) GILEAD SCIENCES JUL 19 14 $80 (100 SHS)",1.00000,05/08/2014,07/01/2014,"$463.24 ","$368.74 ","$94.50 ",-
GRPN141018C8(1949129VP),"CALL (GRPN) GROUPON INC COM OCT 18 14 $8 (100 SHS)",20.00000,08/04/2014,10/17/2014,"$0.00 ","$943.62 ","($943.62)",-
HSH140621C57.5(2041539KI),"CALL (HSH) HILLSHIRE BRANDS CO JUN 21 14 $57.5 (100 SHS)",1.00000,06/03/2014,06/09/2014,"$423.25 ","$183.74 ","$239.51 ",-
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",85.00000,01/06/2011,07/31/2014,"$4649.43 ","$6567.27 ",-,"($1917.84)"
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",15.00000,07/01/2014,07/31/2014,"$820.49 ","$813.60 ","$6.89 ",-
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",46.00000,07/12/2011,03/05/2014,"$2866.99 ","$2846.46 ",-,"$20.53 "
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",54.00000,07/12/2011,03/05/2014,"$3374.94 ","$3341.49 ",-,"$33.45 "
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",100.00000,07/18/2011,02/25/2014,"$6064.94 ","$6052.29 ",-,"$12.65 "
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",5.00000,01/06/2011,01/15/2014,"$299.37 ","$386.31 ",-,"($86.94)"
INFY(456788108),"INFOSYS LTD SPON ADREACH REP 1 ORD SHS",100.00000,08/04/2011,01/15/2014,"$5987.33 ","$5894.73 ",-,"$92.60 "
INFY140322C55(1918299DX),"CALL (INFY) INFOSYS LTD SPON ADRMAR 22 14 $55 (100 SHS)",1.00000,03/12/2014,03/21/2014,"$0.00 ","$87.99 ","($87.99)",-
INFY140419C50(1807249AW),"CALL (INFY) INFOSYS LTD SPON ADRAPR 19 14 $50 (100 SHS)",1.00000,03/24/2014,04/14/2014,"$571.24 ","$458.74 ","$112.50 ",-
INFY140719C55(1872399IG),"CALL (INFY) INFOSYS LTD SPON ADRJUL 19 14 $55 (100 SHS)",1.00000,07/01/2014,07/17/2014,"$119.00 ","$22.99 ","$96.01 ",-
INFY141018C55(1949759JJ),"CALL (INFY) INFOSYS LTD SPON ADROCT 18 14 $55 (100 SHS)",1.00000,07/24/2014,07/31/2014,"$301.25 ","$262.74 ","$38.51 ",-
JD(47215P106),"JD.COM INC SPON ADS EACH REPR 2 ORD SHS CLASS A",100.00000,05/22/2014,05/30/2014,"$2511.91 ","$2252.95 ","$258.96 ",-
JD141220C32(2041989MK),"CALL (JD) JD COM INC DEC 20 14 $32 (100 SHS)",1.00000,07/01/2014,12/19/2014,"$0.00 ","$388.74 ","($388.74)",-
