Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/06/2017,12/12/2017,"$4298.91 ","$4504.95 ","($206.04)",-
,,,,Wash Sale,"$0.00 ","($206.04)","$206.04 ",-
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/06/2017,12/12/2017,"$4298.91 ","$3104.95 ","$1193.96 ",-
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/06/2017,12/12/2017,"$4298.91 ","$2904.95 ","$1393.96 ",-
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/01/2017,12/05/2017,"$3117.94 ","$1891.75 ","$1226.19 ",-
DPW(26140E105),"DPW HLDGS INC COM",1000.00000,12/01/2017,12/05/2017,"$3117.94 ","$1870.45 ","$1247.49 ",-
DPW(26140E105),"DPW HLDGS INC COM",500.00000,12/01/2017,12/05/2017,"$1558.98 ","$891.98 ","$667.00 ",-
DPW(26140E105),"DPW HLDGS INC COM",500.00000,12/01/2017,12/05/2017,"$1561.86 ","$891.97 ","$669.89 ",-
DUST170721C26(3229059EC),"CALL (DUST) DIREXION SHS ETF TR JUL 21 17 $26 (100 SHS)",1.00000,06/06/2017,06/19/2017,"$684.34 ","$344.64 ","$339.70 ",-
DUST170929C25.5(3354919AU),"CALL (DUST) DIREXION SHS ETF TR SEP 29 17 $25.5 (100 SHS)",2.00000,09/21/2017,09/21/2017,"$133.66 ","$146.33 ","($12.67)",-
DUST171117C25(3363719CA),"CALL (DUST) DIREXION SHS ETF TR NOV 17 17 $25 (100 SHS)",2.00000,09/08/2017,09/08/2017,"$253.66 ","$274.33 ","($20.67)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",1000.00000,11/17/2017,12/22/2017,"$18417.22 ","$21730.83 ","($3313.61)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",100.00000,11/13/2017,12/13/2017,"$1897.50 ","$2372.90 ","($475.40)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",800.00000,11/17/2017,12/13/2017,"$15218.84 ","$17384.67 ","($2165.83)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",20.00000,11/13/2017,12/13/2017,"$380.47 ","$471.28 ","($90.81)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",216.00000,11/17/2017,12/13/2017,"$4143.86 ","$4693.86 ","($550.00)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",784.00000,11/17/2017,12/13/2017,"$15008.30 ","$17036.97 ","($2028.67)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",80.00000,11/13/2017,12/11/2017,"$1439.01 ","$1951.12 ","($512.11)",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",100.00000,11/09/2017,11/13/2017,"$1859.13 ","$2124.95 ","($265.82)",-
,,,,Wash Sale,"$0.00 ","($265.82)","$265.82 ",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",100.00000,11/09/2017,11/13/2017,"$1859.13 ","$2042.45 ","($183.32)",-
,,,,Wash Sale,"$0.00 ","($183.32)","$183.32 ",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",500.00000,10/19/2017,11/07/2017,"$11297.26 ","$11260.90 ","$36.36 ",-
DVAX(268158201),"DYNAVAX TECHNOLOGIESCORP COM NEW",500.00000,10/20/2017,11/07/2017,"$11297.26 ","$11260.91 ","$36.35 ",-
DVAX171020P23(3347069KI),"PUT (DVAX) DYNAVAX TECHNOLOGIESOCT 20 17 $23 (100 SHS)",1.00000,09/13/2017,10/11/2017,"$288.35 ","$100.99 ","$187.36 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",4.00000,10/30/2017,11/08/2017,"$887.23 ","$1980.66 ","($1093.43)",-
,,,,Wash Sale,"$0.00 ","($1093.43)","$1093.43 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",10.00000,11/06/2017,11/08/2017,"$2988.06 ","$5259.63 ","($2271.57)",-
,,,,Wash Sale,"$0.00 ","($2271.57)","$2271.57 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",11.00000,11/07/2017,11/08/2017,"$4610.19 ","$6413.77 ","($1803.58)",-
,,,,Wash Sale,"$0.00 ","($1803.58)","$1803.58 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",10.00000,10/30/2017,11/07/2017,"$3188.05 ","$3519.59 ","($331.54)",-
,,,,Wash Sale,"$0.00 ","($331.54)","$331.54 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",10.00000,11/06/2017,11/07/2017,"$2418.07 ","$3519.59 ","($1101.52)",-
,,,,Wash Sale,"$0.00 ","($1101.52)","$1101.52 ",-
DVAX171117P24(3352509BT),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $24 (100 SHS)",6.00000,11/06/2017,11/07/2017,"$1330.84 ","$2111.75 ","($780.91)",-
,,,,Wash Sale,"$0.00 ","($780.91)","$780.91 ",-
DVAX171117P26(3353699OM),"PUT (DVAX) DYNAVAX TECHNOLOGIESNOV 17 17 $26 (100 SHS)",1.00000,10/05/2017,10/26/2017,"$381.35 ","$629.64 ","($248.29)",-
DVAX171215C19(3352509XT),"CALL (DVAX) DYNAVAX TECHNOLOGIESDEC 15 17 $19 (100 SHS)",30.00000,12/08/2017,12/11/2017,"$964.27 ","$1836.20 ","($871.93)",-
GAHC(37951M102),"GLOBAL ARENA HLDG INC COM",10000.00000,12/07/2017,12/22/2017,"$352.04 ","$325.95 ","$26.09 ",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",1.00000,11/30/2017,12/07/2017,"$1815.97 ","$1372.76 ","$443.21 ",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",1.00000,12/04/2017,12/07/2017,"$1815.97 ","$1787.96 ","$28.01 ",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",3.00000,12/04/2017,12/07/2017,"$5447.90 ","$5345.28 ","$102.62 ",-
GBTC(389637109),"GRAYSCALE BITCOIN TRBTC SHS",9.00000,11/30/2017,11/30/2017,"$14196.72 ","$12354.89 ","$1841.83 ",-
ICPT(45845P108),"INTERCEPT PHARMACEUTICALS INC COM USD0.001",100.00000,11/03/2017,11/13/2017,"$6144.18 ","$7000.66 ","($856.48)",-
ICPT171117P75(3401209HF),"PUT (ICPT) INTERCEPT NOV 17 17 $75 (100 SHS)",1.00000,10/05/2017,10/18/2017,"$1049.33 ","$1155.64 ","($106.31)",-
ICPT171117P80(3401199RN),"PUT (ICPT) INTERCEPT NOV 17 17 $80 (100 SHS)",1.00000,10/05/2017,11/13/2017,"$1241.33 ","$1797.64 ","($556.31)",-
ICPT171215C90(3221519HB),"CALL (ICPT) INTERCEPT DEC 15 17 $90 (100 SHS)",1.00000,10/05/2017,12/15/2017,"$0.00 ","$555.64 ","($555.64)",-
ICPT171215C90(3221519HB),"CALL (ICPT) INTERCEPT DEC 15 17 $90 (100 SHS)",1.00000,10/31/2017,12/15/2017,"$0.00 ","$73.99 ","($73.99)",-
LABU(25490K323),"DIREXION SHS ETF TR SP BIOTCH BL NEW",100.00000,09/14/2017,09/26/2017,"$7259.23 ","$7609.70 ","($350.47)",-
LABU(25490K323),"DIREXION SHS ETF TR SP BIOTCH BL NEW",100.00000,09/26/2017,09/26/2017,"$7585.45 ","$7593.95 ","($8.50)",-
LABU(25490K323),"DIREXION SHS ETF TR SP BIOTCH BL NEW",100.00000,08/10/2017,09/05/2017,"$7606.39 ","$6010.61 ","$1595.78 ",-
LABU170825P60(3322739KE),"PUT (LABU) DIREXION SHS ETF TR AUG 25 17 $60 (100 SHS)",1.00000,08/21/2017,08/25/2017,"$494.34 ","$0.00 ","$494.34 ",-
LABU170908P80(3345529FF),"PUT (LABU) DIREXION SHS ETF TR SEP 08 17 $80 (100 SHS)",1.00000,09/05/2017,09/08/2017,"$304.35 ","$133.64 ","$170.71 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",10.00000,12/19/2017,12/22/2017,"$387.64 ","$847.53 ","($459.89)",-
,,,,Wash Sale,"$0.00 ","($459.89)","$459.89 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",5.00000,12/19/2017,12/22/2017,"$195.74 ","$423.77 ","($228.03)",-
,,,,Wash Sale,"$0.00 ","($228.03)","$228.03 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",85.00000,12/19/2017,12/22/2017,"$3337.87 ","$7204.00 ","($3866.13)",-
,,,,Wash Sale,"$0.00 ","($3866.13)","$3866.13 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",15.00000,12/19/2017,12/22/2017,"$589.03 ","$1246.70 ","($657.67)",-
,,,,Wash Sale,"$0.00 ","($657.67)","$657.67 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",20.00000,12/19/2017,12/22/2017,"$781.98 ","$1662.26 ","($880.28)",-
,,,,Wash Sale,"$0.00 ","($880.28)","$880.28 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",65.00000,12/19/2017,12/22/2017,"$2536.24 ","$5402.35 ","($2866.11)",-
,,,,Wash Sale,"$0.00 ","($2866.11)","$2866.11 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",10.00000,12/19/2017,12/22/2017,"$390.29 ","$1250.39 ","($860.10)",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",85.00000,12/19/2017,12/22/2017,"$3317.46 ","$10585.33 ","($7267.87)",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",5.00000,12/19/2017,12/22/2017,"$195.15 ","$623.28 ","($428.13)",-
,,,,Wash Sale,"$0.00 ","($428.13)","$428.13 ",-
,,,,Wash Sale,"$0.00 ","($7267.87)","$7267.87 ",-
,,,,Wash Sale,"$0.00 ","($860.10)","$860.10 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",65.00000,12/19/2017,12/22/2017,"$2601.84 ","$8069.33 ","($5467.49)",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",5.00000,12/19/2017,12/22/2017,"$200.14 ","$620.32 ","($420.18)",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",100.00000,12/18/2017,12/18/2017,"$5494.92 ","$3927.28 ","$1567.64 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",100.00000,12/18/2017,12/18/2017,"$7298.59 ","$6829.95 ","$468.64 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",100.00000,12/18/2017,12/18/2017,"$7298.59 ","$7404.94 ","($106.35)",-
,,,,Wash Sale,"$0.00 ","($106.35)","$106.35 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",100.00000,12/18/2017,12/18/2017,"$7298.59 ","$7504.95 ","($206.36)",-
,,,,Wash Sale,"$0.00 ","($206.36)","$206.36 ",-
LFIN(54304F106),"LONGFIN CORP COM CLASS A",100.00000,12/18/2017,12/18/2017,"$7298.60 ","$5004.95 ","$2293.65 ",-
MARA(56585W302),"MARATHON PATENT GROUP INC COM PAR",400.00000,12/01/2017,12/06/2017,"$2119.29 ","$2004.00 ","$115.29 ",-
MARA(56585W302),"MARATHON PATENT GROUP INC COM PAR",600.00000,12/01/2017,12/06/2017,"$3178.94 ","$3016.95 ","$161.99 ",-
MARA(56585W302),"MARATHON PATENT GROUP INC COM PAR",1000.00000,12/01/2017,12/06/2017,"$5298.23 ","$5121.25 ","$176.98 ",-
MARA(56585W302),"MARATHON PATENT GROUP INC COM PAR",100.00000,12/01/2017,12/06/2017,"$529.82 ","$473.95 ","$55.87 ",-
MARA(56585W302),"MARATHON PATENT GROUP INC COM PAR",900.00000,12/01/2017,12/06/2017,"$4768.40 ","$4221.81 ","$546.59 ",-
MARA180119P5(3480059IC),"PUT (MARA) MARATHON PATENT JAN 19 18 $5 (100 SHS)",10.00000,12/11/2017,12/12/2017,"$1638.09 ","$1211.87 ","$426.22 ",-
MARA180119P7.5(3480059KE),"PUT (MARA) MARATHON PATENT JAN 19 18 $7.5 (100 SHS)",10.00000,12/19/2017,12/22/2017,"$3188.05 ","$3721.87 ","($533.82)",-
MARA180316P15(3491319LF),"PUT (MARA) MARATHON PATENT MAR 16 18 $15 (100 SHS)",5.00000,12/01/2017,12/19/2017,"$5891.45 ","$5868.41 ","$23.04 ",-
MRTX(60468T105),"MIRATI THERAPEUTICS INC COM",100.00000,09/15/2017,10/11/2017,"$1422.51 ","$1177.61 ","$244.90 ",-
MRTX171020P10(3367719XR),"PUT (MRTX) MIRATI THERAPEUTICS OCT 20 17 $10 (100 SHS)",1.00000,09/15/2017,09/28/2017,"$174.35 ","$64.99 ","$109.36 ",-
MRTX171117C12.5(3402939EA),"CALL (MRTX) MIRATI THERAPEUTICS NOV 17 17 $12.5 (100 SHS)",1.00000,09/22/2017,10/05/2017,"$90.00 ","$305.64 ","($215.64)",-
MRTX171215P12.5(3395839MM),"PUT (MRTX) MIRATI THERAPEUTICS DEC 15 17 $12.5 (100 SHS)",2.00000,10/09/2017,11/09/2017,"$295.31 ","$246.33 ","$48.98 ",-
MRTX171215P12.5(3395839MM),"PUT (MRTX) MIRATI THERAPEUTICS DEC 15 17 $12.5 (100 SHS)",1.00000,10/09/2017,10/26/2017,"$147.65 ","$205.64 ","($57.99)",-
MU171117P46(3385599RN),"PUT (MU) MICRON TECHNOLOGY NOV 17 17 $46 (100 SHS)",1.00000,10/31/2017,11/02/2017,"$238.35 ","$247.64 ","($9.29)",-
MYO(62857J102),"MYOMO INC COM",1000.00000,12/07/2017,12/22/2017,"$3239.67 ","$3204.95 ","$34.72 ",-
NRG171020C24(3368229FB),"CALL (NRG) NRG ENERGY INC OCT 20 17 $24 (100 SHS)",2.00000,09/22/2017,10/16/2017,"$493.65 ","$190.33 ","$303.32 ",-
NRG171020P26(3368229IE),"PUT (NRG) NRG ENERGY INC OCT 20 17 $26 (100 SHS)",1.00000,09/22/2017,10/11/2017,"$237.35 ","$100.99 ","$136.36 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",38.00000,09/15/2017,11/13/2017,"$1092.84 ","$1524.03 ","($431.19)",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",62.00000,10/21/2016,11/13/2017,"$1783.09 ","$5062.16 ",-,"($3279.07)"
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",12.40000,09/21/2016,09/01/2017,"$507.27 ","$1064.39 ","($557.12)",-
,,,,Wash Sale,"$0.00 ","($557.12)","$557.12 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",24.80000,09/23/2016,09/01/2017,"$1014.54 ","$2179.90 ","($1165.36)",-
,,,,Wash Sale,"$0.00 ","($1165.36)","$1165.36 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",24.80000,10/07/2016,09/01/2017,"$1014.53 ","$1867.63 ","($853.10)",-
,,,,Wash Sale,"$0.00 ","($853.10)","$853.10 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",38.00000,06/16/2017,09/01/2017,"$1554.51 ","$1147.84 ","$406.67 ",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",0.10000,09/21/2016,05/01/2017,"$3.04 ","$8.58 ","($5.54)",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",0.20000,09/23/2016,05/01/2017,"$6.08 ","$17.58 ","($11.50)",-
NUGT(25460E844),"DIREXION SHS ETF TR DLY GOLD INDX 3X",0.20000,10/07/2016,05/01/2017,"$6.10 ","$15.07 ","($8.97)",-
NUGT170929P35(3356049UQ),"PUT (NUGT) DIREXION SHS ETF TR SEP 29 17 $35 (100 SHS)",1.00000,09/21/2017,09/26/2017,"$229.35 ","$209.64 ","$19.71 ",-
NUGT171013C35.5(3383719JH),"CALL (NUGT) DIREXION SHS ETF TR OCT 13 17 $35.5 (100 SHS)",1.00000,09/21/2017,10/13/2017,"$0.00 ","$141.64 ","($141.64)",-
NUGT171013C35.5(3383719JH),"CALL (NUGT) DIREXION SHS ETF TR OCT 13 17 $35.5 (100 SHS)",1.00000,09/29/2017,10/13/2017,"$0.00 ","$54.99 ","($54.99)",-
NUGT171013C35.5(3383719JH),"CALL (NUGT) DIREXION SHS ETF TR OCT 13 17 $35.5 (100 SHS)",3.00000,10/10/2017,10/13/2017,"$0.00 ","$181.02 ","($181.02)",-
