Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAPL160429P100(2747999CU),"PUT (AAPL) APPLE INC APR 29 16 $100 (100 SHS)",5.00000,04/25/2016,04/27/2016,"$982.05 ","$381.90 ","$600.15 ",-
AAPL160429P100(2747999CU),"PUT (AAPL) APPLE INC APR 29 16 $100 (100 SHS)",5.00000,04/26/2016,04/27/2016,"$982.05 ","$381.90 ","$600.15 ",-
AAPL160429P95.5(2747999LF),"PUT (AAPL) APPLE INC APR 29 16 $95.5 (100 SHS)",5.00000,04/28/2016,04/29/2016,"$688.08 ","$301.90 ","$386.18 ",-
AAPL160506P98(2769669GA),"PUT (AAPL) APPLE INC MAY 06 16 $98 (100 SHS)",5.00000,04/27/2016,04/28/2016,"$1538.06 ","$1006.90 ","$531.16 ",-
ADBE160415C100(2502469AY),"CALL (ADBE) ADOBE SYS INC APR 15 16 $100 (100 SHS)",35.00000,03/14/2016,03/18/2016,"$1959.34 ","$910.61 ","$1048.73 ",-
AMZN160219C700(2566109AS),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $700 (100 SHS)",1.00000,01/05/2016,02/03/2016,"$0.82 ","$1378.74 ","($1377.92)",-
AMZN160219C700(2566109AS),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $700 (100 SHS)",2.00000,01/06/2016,02/03/2016,"$1.65 ","$2409.53 ","($2407.88)",-
AMZN160219C700(2566109AS),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $700 (100 SHS)",3.00000,01/13/2016,02/03/2016,"$2.47 ","$1105.33 ","($1102.86)",-
AMZN160219C700(2566109AS),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $700 (100 SHS)",1.00000,01/25/2016,02/03/2016,"$0.82 ","$383.74 ","($382.92)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",20.00000,12/30/2015,02/03/2016,"$17.20 ","$11783.78 ","($11766.58)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/06/2016,02/03/2016,"$8.60 ","$1665.87 ","($1657.27)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/13/2016,02/03/2016,"$8.60 ","$345.87 ","($337.27)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/14/2016,02/03/2016,"$8.60 ","$210.42 ","($201.82)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/22/2016,02/03/2016,"$8.60 ","$210.42 ","($201.82)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/25/2016,02/03/2016,"$8.60 ","$335.87 ","($327.27)",-
AMZN160219C800(2566569PJ),"CALL (AMZN) AMAZON.COM INC FEB 19 16 $800 (100 SHS)",10.00000,01/27/2016,02/03/2016,"$8.61 ","$138.37 ","($129.76)",-
AMZN160226C570(2675769IC),"CALL (AMZN) AMAZON.COM INC FEB 26 16 $570 (100 SHS)",1.00000,02/22/2016,02/26/2016,"$0.00 ","$358.74 ","($358.74)",-
AMZN160226C570(2675769IC),"CALL (AMZN) AMAZON.COM INC FEB 26 16 $570 (100 SHS)",1.00000,02/22/2016,02/26/2016,"$0.00 ","$313.74 ","($313.74)",-
AMZN160429C700(2752659JD),"CALL (AMZN) AMAZON.COM INC APR 29 16 $700 (100 SHS)",5.00000,03/31/2016,04/22/2016,"$1578.06 ","$1261.90 ","$316.16 ",-
AMZN160429P505(2785909RP),"PUT (AMZN) AMAZON.COM INC APR 29 16 $505 (100 SHS)",10.00000,04/28/2016,04/29/2016,"$0.00 ","$220.90 ","($220.90)",-
BABA160115C120(2155369HB),"CALL (BABA) ALIBABA GROUP HLDG JAN 15 16 $120 (100 SHS)",20.00000,10/26/2015,01/15/2016,"$0.00 ","$168.83 ","($168.83)",-
BABA160115C120(2155369HB),"CALL (BABA) ALIBABA GROUP HLDG JAN 15 16 $120 (100 SHS)",10.00000,10/26/2015,01/15/2016,"$0.00 ","$148.37 ","($148.37)",-
BABA160115C120(2155369HB),"CALL (BABA) ALIBABA GROUP HLDG JAN 15 16 $120 (100 SHS)",10.00000,10/26/2015,01/15/2016,"$0.00 ","$108.37 ","($108.37)",-
CELG160429C105(2748469FF),"CALL (CELG) CELGENE CORP APR 29 16 $105 (100 SHS)",5.00000,03/31/2016,04/08/2016,"$2163.05 ","$906.90 ","$1256.15 ",-
CELG160429C105(2748469FF),"CALL (CELG) CELGENE CORP APR 29 16 $105 (100 SHS)",5.00000,03/31/2016,04/07/2016,"$2538.04 ","$851.90 ","$1686.14 ",-
CELG160617C103(2829509MI),"CALL (CELG) CELGENE CORP JUN 17 16 $103 (100 SHS)",1.00000,06/15/2016,06/17/2016,"$0.00 ","$38.99 ","($38.99)",-
CNX160318C12(2683029LH),"CALL (CNX) CONSOL ENERGY INC MAR 18 16 $12 (100 SHS)",100.00000,02/23/2016,03/04/2016,"$2812.94 ","$424.04 ","$2388.90 ",-
CRM(79466L302),"SALESFORCE.COM INC COM USD0.001",100.00000,02/24/2016,02/26/2016,"$6897.89 ","$6707.95 ","$189.94 ",-
